no;questions;category0
1920;What 's the setting of John Le Carre 's A Small Town in Germany ?;DESCRIPTION
1921;What does an echidna look like ?;DESCRIPTION
1922;What is the secret of the universe ?;DESCRIPTION
1923;Who was the second man to walk on the moon ?;HUMAN
1924;What major Victorian novelist spent as much time working for the post office as he did writing ?;HUMAN
1925;What caused an adjournment of the 25th anniversary session of the United Nations General Assembly ?;DESCRIPTION
1926;The major league baseball team in Pittsburgh is called what ?;HUMAN
1927;What is the name of the Islamic counterpart to the Red Cross ?;ENTITY
1928;What year were the Olympic Games played in where Nadia Comaneci became popular ?;NUMERIC
1929;What is glass made of ?;ENTITY
1930;How did Lee Harvey Oswald purchase his rifle ?;DESCRIPTION
1931;How do I sing like Elvis Presley ?;DESCRIPTION
1932;What are the biggest Indian airports ?;LOCATION
1933;What is the folklore story regarding birds ' nests and birds in Christmas trees ?;ENTITY
1934;What are the world 's three largest oceans , in order of size ?;LOCATION
1935;Who is the Pope ?;HUMAN
1936;Where on the Internet can I find information on laundry detergent ?;LOCATION
1937;What do the French call La Manche ?;ENTITY
1938;What 's an easy way to count the approximate number of fish in a lake ?;ENTITY
1939;How do you clean up a cache ?;DESCRIPTION
1940;What was the name of Aristotle Onassis 's yacht ?;ENTITY
1941;What is a fear of being dirty ?;ENTITY
1942;What animal occurs in Spielberg 's `` Jaws '' ?;ENTITY
1943;What 's the Red Planet ?;DESCRIPTION
1944;The Shea &amp;
1945;What 's the most common surname in America ?;HUMAN
1946;How long does it take the typical American to eat 23 quarts of ice cream ?;NUMERIC
1947;What is the difference between a fruit and a vegetable ?;DESCRIPTION
1948;What kind of tree graces Lebanon 's flag ?;ENTITY
1949;What is tumbled marble ?;DESCRIPTION
1950;What are the various ways in which one can measure IT User Satisfaction Level ?;ENTITY
1951;What city is sometimes called The Athens of Switzerland ?;LOCATION
1952;Where did bocci originate ?;LOCATION
1953;How does light travel through the void of space if there is no medium for it to ` wave ' or ` pulse ' .;DESCRIPTION
1954;What are the Valdez Principles ?;DESCRIPTION
1955;How can I easily remove red wine stains from t-shirts ?;DESCRIPTION
1956;How do you write MLA style bibliographies for an Internet source ?;DESCRIPTION
1957;Who is Imam Hussain Ben Ali whom Shia people believe in ?;HUMAN
1958;What is the origin of the word assassinate ?;DESCRIPTION
1959;Where can I find information about Bob Barr , representative from Georgia ?;LOCATION
1960;What is the frequency of VHF ?;NUMERIC
1961;What are the Arabic Numerals from 1 to 10 ?;DESCRIPTION
1962;What does the policeman become in the Canadian edition of Monopoly ?;ENTITY
1963;How many electoral votes does it take to win presidency ?;NUMERIC
1964;What is digitalis ?;DESCRIPTION
1965;What kind of flowers does detective Nero Wolfe raise ?;ENTITY
1966;What was paper made of in the late 16th century ?;ENTITY
1967;Who was William Henry Harrison ?;HUMAN
1968;What was the outcome of the 1945 Yalta Conference ?;DESCRIPTION
1969;What is `` flintknapping '' ?;DESCRIPTION
1970;What 's the most popular contact lens color ?;ENTITY
1971;What were the cities of Dickens 's A Tale of Two Cities ?;LOCATION
1972;What causes canker sores in the mouth ?;DESCRIPTION
1973;In what year was the movie the Ten Commandments released ?;NUMERIC
1974;What is the fastest fish in the world ?;ENTITY
1975;What color are the castellated walls of the Kremlin ?;ENTITY
1976;What is celebrated during the week of February 21-27 ?;ENTITY
1977;What is damage to business and government caused by bureaucracy ?;ENTITY
1978;What countries have the best math students ?;LOCATION
1979;When was the De Beers company founded ?;NUMERIC
1980;What was a California prayer book to an Old West gambler ?;ENTITY
1981;Who was the first black performer to have his own network TV show ?;HUMAN
1982;What 's another name for aspartame ?;ENTITY
1983;What did John F. Kennedy consider his greatest blunder in office ?;DESCRIPTION
1984;What 's the abbreviation for trinitrotoluene ?;ABBREVIATION
1985;What creature is the absolute fastest in moving in the world , birds , mammals , etc. , ?;ENTITY
1986;What is the date of Bastille Day ?;NUMERIC
1987;What is IOC an abbreviation of ?;ABBREVIATION
1988;What 's the proud claim to fame of the young women who formed Kappa Alpha Theta ?;DESCRIPTION
1989;Which two products use a tiger as their symbol ?;ENTITY
1990;Where did Freidreich Wilhelm Ludwig Leichhardt , Prussian born explorer , go to school ?;LOCATION
1991;What color eyes are most sensitive to light ?;ENTITY
1992;How much folic acid should an expectant mother get daily ?;NUMERIC
1993;What company uses the unfamiliar faces of its celebrity spokespeople to promote the use of its product ?;HUMAN
1994;What disease does Katharine Hepburn have that makes her voice shake ?;ENTITY
1995;What did FCC chairman Newton Minow declare TV to be on May 9 , 1961 ?;DESCRIPTION
1996;How much caffeine is in a 16 oz cup of coffee ?;NUMERIC
1997;What is the name of the art of growing miniature trees ?;ENTITY
1998;What two countries in South America are landlocked ?;LOCATION
1999;What does Tiffany mean ?;DESCRIPTION
2000;Why do magnets attract ?;DESCRIPTION
2001;How do you address a Chinese person ?;DESCRIPTION
2002;What is the meaning of thalassemia ?;DESCRIPTION
2003;What is Columbia Tristar 's phone number ?;NUMERIC
2004;How do I impress a guy ?;DESCRIPTION
2005;What does the method called `` cold fusion '' create ?;ENTITY
2006;When did Princess Diana and Prince Charles get married ?;NUMERIC
2007;What determines the value of the pearl ?;ENTITY
2008;Which country did Hitler rule ?;LOCATION
2009;What was the name of the American ship sunk by a mine in Havana harbor , causing the Spanish-American war ?;ENTITY
2010;Who directed The Wild Bunch ?;HUMAN
2011;What are emblazoned on the Jolly Roger ?;ENTITY
2012;The Orange Bowl is in what city ?;LOCATION
2013;What are the alveoli ?;DESCRIPTION
2014;What comedian was born Allen Stewart Konigsberg ?;HUMAN
2015;How many Leos have been Pope ?;NUMERIC
2016;What state was Herbert Hoover born in ?;LOCATION
2017;What TV series featured Neal , a martini-drinking St. Bernard ?;ENTITY
2018;What developed a crack in 1835 while tolling the death of U.S. Chief Justice John Marshall ?;ENTITY
2019;How many fiddlers did Old King Cole have ?;NUMERIC
2020;What poet wrote : `` ... I have promises to keep , and miles to go before I sleep '' ?;HUMAN
2021;What is ethylene ?;DESCRIPTION
2022;What Irwin Allen bomb has Richard Widmark saying he 'll be `` the first officer in history to get his butt kicked by a mess of bugs ! '' ?;ENTITY
2023;What is a fear of clouds ?;ENTITY
2024;What is the music used in the new VW Beetle commercial where the car spins and changes colors ?;ENTITY
2025;What is a fear of pregnancy ?;ENTITY
2026;What is the population in India ?;NUMERIC
2027;What is the origin of the word `` pallbearer ? '';DESCRIPTION
2028;How long do flies live ?;NUMERIC
2029;Why is Microsoft 's Windows 3 software so successful ?;DESCRIPTION
2030;Who runs Andy Capp 's favorite pub ?;HUMAN
2031;What state produces the best lobster to eat ?;LOCATION
2032;How many times a day does the typical person go to the bathroom ?;NUMERIC
2033;What bowl game began as an East-West contest between Michigan and Stanford in 192 ?;ENTITY
2034;What islands got their name from the Spanish baja mar , meaning shallow water ?;LOCATION
2035;What is deadrise , nautical , ?;DESCRIPTION
2036;What 's the official language of Algeria ?;ENTITY
2037;What took first prize in Omni magazine 's contest to find the `` ultimate unanswerable question '' ?;ENTITY
2038;What six words follow the line : `` From a jack to a king.. . '' ?;ENTITY
2039;How do I find a city if I have the area code ?;DESCRIPTION
2040;What author of the Days of Our Lives Cookbook signed on in 198 as Liz Chandler in TV 's Days of Our Lives ?;HUMAN
2041;What foods contain the most protein ?;ENTITY
2042;What President was assassinated by Charles J. Guiteau ?;HUMAN
2043;What comic of TV 's golden age went by the motto `` Anything for a laugh '' ?;HUMAN
2044;How many feet long is a baseball pitcher 's rubber ?;NUMERIC
2045;What was the nationality of Jackson Pollock ?;LOCATION
2046;Who invented the game bowling ?;HUMAN
2047;What are the snakes of New England ?;ENTITY
2048;How many times larger than life size is the Statue of Liberty ?;NUMERIC
2049;What is the name of the country which Hitler ruled ?;LOCATION
2050;What group kidnaped Patricia Hearst ?;HUMAN
2051;How long does a human live ?;NUMERIC
2052;Where can I get U.S. economic statistics ?;LOCATION
2053;How many Superbowls have the ers won ?;NUMERIC
2054;What do you do when your mouse is n't working as fast as it 's supposed to ?;DESCRIPTION
2055;What is a gandy dancer ?;DESCRIPTION
2056;Who is the creator of `` The Muppets '' ?;HUMAN
2057;Which of the following celebrities started his show-biz career as a disc jockey ?;HUMAN
2058;What Triple Crown-winning horse took the 1973 Belmont Stakes by 31 lengths ?;ENTITY
2059;What 's a perfect score in a gymnastics exercise ?;NUMERIC
2060;What is the dot on an the letter i called ?;ENTITY
2061;What 's the capital of Iowa ?;LOCATION
2062;Who asked you to do the Loco-Motion with her in 1962 ?;HUMAN
2063;What 's the rathaus in Frankfurt ?;DESCRIPTION
2064;What President served for five years , six months and 2 days ?;HUMAN
2065;What do you call the feeling of having experienced something before ?;ENTITY
2066;What incident caused the canning of a summit conference between Eisenhower and Khrushchev ?;DESCRIPTION
2067;What is the abbreviated form of the National Bureau of Investigation ?;ABBREVIATION
2068;What is a fear of odors , body , ?;ENTITY
2069;What is the formula to calculate pi ?;ENTITY
2070;What is the difference between a bachelor and a 1 bedroom apartment ?;DESCRIPTION
2071;What is Drew Barrymore 's middle name ?;HUMAN
2072;How do you write a book report ?;DESCRIPTION
2073;What are Cobol , Fortran , and Pascal ?;DESCRIPTION
2074;What is Supergirl 's secret identity ?;HUMAN
2075;What is the US Federal Government website for Standard Industrial Classification codes , SIC , ?;LOCATION
2076;What court does Bob Woodward describe in The Brethren ?;HUMAN
2077;Who made the first surfboard ?;HUMAN
2078;What is the name of the police officer who tried to keep order in Top Cat 's neighborhood ?;HUMAN
2079;On what date did Rosa Parks Become a symbol of the civil rights movement for refusing to give up her seat on the bus ?;NUMERIC
2080;What are the highest-paying odds on a roulette table ?;NUMERIC
2081;In what year did the US Marine Corps adopt the motto `` Semper Fidelis '' ?;NUMERIC
2082;How many films did Ingmar Bergman make ?;NUMERIC
2083;What does a deltiologist collect ?;ENTITY
2084;What is Garry Kasparov famous for ?;DESCRIPTION
2085;What does the `` c '' stand for in the equation E=mc2 ?;ABBREVIATION
2086;Who is the Greek God of the Sea ?;HUMAN
2087;What well-known music personality is the father of an adopted son named Hans Christian Henderson ?;HUMAN
2088;How do you measure the heat of the sun ?;DESCRIPTION
2089;Why do some people have two different color eyes ?;DESCRIPTION
2090;Which leg does a cat move with its left front leg when walking - its left rear or right rear leg ?;ENTITY
2091;When was the first Barbie produced ?;NUMERIC
2092;What 's the hardest substance in the human body ?;ENTITY
2093;Who was the first woman governor of Wyoming ?;HUMAN
2094;How many more weeks of winter are there if a ground hog sees his shadow ?;NUMERIC
2095;What Green Bay Packers coach philosophized : `` There 's nothing that stokes the fire like hate '' ?;HUMAN
2096;How do birds find their way back to the same place every year ?;DESCRIPTION
2097;Where is the Henry Ford Museum ?;LOCATION
2098;Name a film that has won the Golden Bear in the Berlin Film Festival ?;ENTITY
2099;What 's the International Lawn Tennis Challenge Trophy usually called ?;ENTITY
2100;What year did nylon stockings first go on sale ?;NUMERIC
2101;What is a research expedition in mountain climbing ?;ENTITY
2102;On which flight did Fawaz Younis commit air piracy and hostage taking ?;ENTITY
2103;What are the 10 largest cities in the US ?;LOCATION
2104;What is a wart ?;DESCRIPTION
2105;What is spaceball played on ?;DESCRIPTION
2106;How does rabies spread ?;DESCRIPTION
2107;What famous comedian recently tried without success to revive the play ?;HUMAN
2108;What is Drew Barrymore 's email address ?;LOCATION
2109;How can you tell if someone is lying ?;DESCRIPTION
2110;What is the difference between a preface and a foreword ?;DESCRIPTION
2111;What are fingernails made of ?;ENTITY
2112;What nationality were the 123 people who died in the Black Hole of Calcutta ?;LOCATION
2113;What does storm wave mean in Japanese ?;DESCRIPTION
2114;Why do they sterilize the needle for lethal injection ?;DESCRIPTION
2115;What TV family sometimes buys eclairs from Nelson 's Bakery ?;HUMAN
2116;How can you get rust stains out of clothing ?;DESCRIPTION
2117;How does a small businessman contact the Good Humor Ice Cream company to do business with them ?;DESCRIPTION
2118;What enigmatic U.S. vice president was once tried and acquitted for treason in a plot to set up his own independent empire in the West ?;HUMAN
2119;Who was Charles Lindbergh 's wife ?;HUMAN
2120;Who sings Angel Eyes from the 80 's ?;HUMAN
2121;When did the Jurassic Period end ?;NUMERIC
2122;What is the one thing you need before you can purchase life insurance ?;ENTITY
2123;What caused the Titanic to sink ?;DESCRIPTION
2124;What is the chemiosmotic theory ?;DESCRIPTION
2125;What information can you tell me about actor James Cromwell ?;HUMAN
2126;How does an ion drive work ?;DESCRIPTION
2127;How can I trace my family roots ?;DESCRIPTION
2128;What was the date of Iraq 's invasion of Kuwait ?;NUMERIC
